time,seconds_elapsed,z,y,x
1690839811535364400,0.0293642578125,-0.9755401611328125,0.0382080078125,-0.0008544921875
1690839811545344300,0.03934423828125,-0.9797821044921875,0.0319366455078125,-0.0028533935546875
1690839811555384300,0.04938427734375,-0.9799957275390625,0.0254058837890625,-0.0034332275390625
1690839811565424400,0.05942431640625,-0.9813232421875,0.01611328125,-0.00506591796875
1690839811575465500,0.069465576171875,-0.984344482421875,0.0082855224609375,-0.004180908203125
1690839811585505500,0.079505615234375,-0.9849853515625,0.001617431640625,-0.0023193359375
1690839811595545600,0.089545654296875,-0.986114501953125,-0.00274658203125,0.0001220703125
1690839811605585700,0.099585693359375,-0.9854278564453125,-0.0027313232421875,0.00347900390625
1690839811615626500,0.10962646484375,-0.98358154296875,-0.0007171630859375,0.0044708251953125
1690839811625666300,0.119666259765625,-0.982269287109375,0.0029296875,0.003509521484375
1690839811635706400,0.129706298828125,-0.9789276123046875,0.0089569091796875,0.0010528564453125
1690839811645777400,0.13977734375,-0.9745635986328125,0.015167236328125,-0.0018157958984375
1690839811655817500,0.1498173828125,-0.9742279052734375,0.0225067138671875,-0.0027618408203125
1690839811665858600,0.159858642578125,-0.97174072265625,0.0278778076171875,-0.0030059814453125
1690839811675898600,0.169898681640625,-0.9703216552734375,0.032684326171875,-0.0035400390625
1690839811685938400,0.1799384765625,-0.970428466796875,0.0366363525390625,-0.0023193359375
1690839811695978500,0.189978515625,-0.9677276611328125,0.0401153564453125,-0.0016632080078125
1690839811706019300,0.200019287109375,-0.96881103515625,0.041900634765625,-0.0009002685546875
1690839811716059400,0.210059326171875,-0.96746826171875,0.040985107421875,-0.00042724609375
1690839811726099500,0.220099365234375,-0.965850830078125,0.0405120849609375,-0.0011138916015625
1690839811736140500,0.230140625,-0.9684600830078125,0.037933349609375,-0.0009765625
1690839811746180600,0.2401806640625,-0.969573974609375,0.0346221923828125,-0.0011749267578125
1690839811756220700,0.250220703125,-0.9716644287109375,0.0316162109375,-0.0011138916015625
1690839811766260500,0.260260498046875,-0.974853515625,0.028533935546875,-0.001007080078125
1690839811776301300,0.27030126953125,-0.9762115478515625,0.022491455078125,-0.0013427734375
1690839811786341400,0.28034130859375,-0.977508544921875,0.0181732177734375,-0.001434326171875
1690839811796412400,0.290412353515625,-0.97979736328125,0.0156097412109375,-0.0018310546875
1690839811806452500,0.300452392578125,-0.97930908203125,0.0122833251953125,-0.001739501953125
1690839811816492500,0.310492431640625,-0.98138427734375,0.0092926025390625,-0.0006256103515625
1690839811826533600,0.32053369140625,-0.98101806640625,0.009368896484375,0.00030517578125
1690839811836573400,0.330573486328125,-0.9792633056640625,0.010772705078125,0.0012664794921875
1690839811846613500,0.340613525390625,-0.9802093505859375,0.0136260986328125,0.0008087158203125
1690839811856653600,0.350653564453125,-0.9788665771484375,0.0163116455078125,-0.0003509521484375
1690839811866694400,0.3606943359375,-0.9775848388671875,0.0192108154296875,-0.0011749267578125
1690839811876734500,0.370734375,-0.9748687744140625,0.0234222412109375,-0.00225830078125
1690839811886765600,0.380765625,-0.9747161865234375,0.02740478515625,-0.0023651123046875
1690839811896806400,0.390806396484375,-0.974273681640625,0.03021240234375,-0.0019073486328125
1690839811906846500,0.400846435546875,-0.9728546142578125,0.031890869140625,-0.001953125
1690839811916886500,0.410886474609375,-0.972503662109375,0.0335845947265625,-0.00189208984375
1690839811926926600,0.420926513671875,-0.9722442626953125,0.0338287353515625,-0.0025177001953125
1690839811936967700,0.4309677734375,-0.971649169921875,0.033477783203125,-0.00152587890625
1690839811947038700,0.441038818359375,-0.97235107421875,0.0316619873046875,-0.0017242431640625
1690839811957078500,0.45107861328125,-0.9724273681640625,0.0310211181640625,-0.000823974609375
1690839811967118600,0.46111865234375,-0.974822998046875,0.028594970703125,-0.0009613037109375
1690839811977158700,0.47115869140625,-0.97576904296875,0.02618408203125,-0.0001678466796875
1690839811987199500,0.481199462890625,-0.975189208984375,0.024383544921875,0.0005645751953125
1690839811997239600,0.491239501953125,-0.9783935546875,0.021484375,0.0005035400390625
1690839812007279600,0.501279541015625,-0.9793853759765625,0.0202178955078125,-0.0010528564453125
1690839812017320700,0.51132080078125,-0.978759765625,0.01849365234375,-0.002044677734375
1690839812027360500,0.521360595703125,-0.9794158935546875,0.0164642333984375,-0.002349853515625
1690839812037400600,0.531400634765625,-0.9793243408203125,0.0153656005859375,-0.002685546875
1690839812047440600,0.541440673828125,-0.9784698486328125,0.0152435302734375,-0.00274658203125
1690839812057481500,0.5514814453125,-0.9781341552734375,0.0178375244140625,-0.001708984375
1690839812067521500,0.561521484375,-0.9775848388671875,0.0192718505859375,0.000274658203125
1690839812077561600,0.5715615234375,-0.97686767578125,0.0208892822265625,0.0008544921875
1690839812087602700,0.581602783203125,-0.977325439453125,0.0243072509765625,0.0003509521484375
1690839812097672400,0.59167236328125,-0.9765472412109375,0.025634765625,-0.000213623046875
1690839812107713500,0.601713623046875,-0.9764404296875,0.02685546875,-0.00091552734375
1690839812117753600,0.611753662109375,-0.975982666015625,0.0288238525390625,-0.001434326171875
1690839812127793700,0.621793701171875,-0.9756011962890625,0.0288848876953125,-0.0027313232421875
1690839812137833500,0.63183349609375,-0.9745330810546875,0.0290374755859375,-0.003448486328125
1690839812147874600,0.64187451171875,-0.9742584228515625,0.0297393798828125,-0.0031890869140625
1690839812157914600,0.65191455078125,-0.97503662109375,0.0287017822265625,-0.003173828125
1690839812167954400,0.661954345703125,-0.974761962890625,0.027618408203125,-0.0016632080078125
