time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1690840807387566800,0.03256689453125,0.5493881261746671,-0.012389723110067712,0.27120497062706933,0.004501339976262162,0.9624411826720225,-0.0011534899960535389,-0.024476867978736192
1690840807397607000,0.04260693359375,0.5493270374790253,-0.011520047244239974,0.27117964348460094,0.004657609987097495,0.9624594220792019,-0.0008268419009943947,-0.022625531750817135
1690840807407647000,0.05264697265625,0.5492246803350189,-0.010645229757360944,0.2711341447979712,0.00486591227083367,0.9624825354967302,-0.0004715539329986897,-0.020748892958605623
1690840807417687800,0.062687744140625,0.5492667552398816,-0.009858678933437,0.27115766938249036,0.005065809856867998,0.9624843933468309,-0.00014631123888165848,-0.01905814972787668
1690840807427727600,0.0727275390625,0.5492762649695628,-0.00923291438385447,0.27116480235410734,0.005226391524466694,0.9624886864196499,0.00011338579804117869,-0.01771258496299605
1690840807437767700,0.082767578125,0.5493373429528365,-0.008817974848986556,0.2711961901225009,0.0052567842536200525,0.962483649998838,0.00024582867740411595,-0.01684177380552979
1690840807447808800,0.092808837890625,0.5492666176428694,-0.008663921638057803,0.2711631500838696,0.00519051328705344,0.9624944162380975,0.00025512221493329804,-0.016540347094667385
1690840807457878800,0.102878662109375,0.5492609759114557,-0.00877216742736006,0.271160503488922,0.005028064469639628,0.9624942085977636,0.00014026169432919595,-0.016811045648657034
1690840807467920000,0.112919921875,0.5491890599737785,-0.00911459937084006,0.27112490954362084,0.004846254535997661,0.962501072978444,-0.0000503389716851884,-0.017573824213979454
1690840807477960000,0.1229599609375,0.5491515656628277,-0.009654483765224037,0.2711045895438801,0.004748695446738096,0.9625014690502086,-0.0002529369814196822,-0.018723148267319353
1690840807487999700,0.132999755859375,0.5490479219575992,-0.010318494758440478,0.27105130423816826,0.004754340424830161,0.9625094733124391,-0.00043652604040301396,-0.02010129348327607
1690840807498039800,0.143039794921875,0.5490470071152277,-0.01101687511934819,0.27104681171901956,0.0048277795373366595,0.962502882959783,-0.0005950818775118143,-0.021531801936750243
1690840807508080600,0.15308056640625,0.5490825562371627,-0.011677126922978207,0.27105977870910175,0.00492113236839633,0.9624913876567357,-0.0007327723361595901,-0.022877513962229513
1690840807518120700,0.16312060546875,0.5491091801843317,-0.012242057993552132,0.27106901961721586,0.004979469105032921,0.9624816761424103,-0.0008617696478599685,-0.024035025136423537
1690840807528160800,0.173160888671875,0.5491203753103686,-0.012665017935364398,0.2710718853174994,0.004979462866659657,0.962475330710156,-0.0009809932429308975,-0.024913951316183208
1690840807538201900,0.183201904296875,0.5491554283990371,-0.012932957785455649,0.2710874213108366,0.004929816207881262,0.9624672609450916,-0.0010824933971494382,-0.02548475611832496
1690840807548242000,0.193241943359375,0.5491428756442023,-0.013014569876796911,0.27108147040071073,0.004825745995607419,0.9624677780958799,-0.001159457916502763,-0.02568364702678528
1690840807558282000,0.203281982421875,0.5491251131483247,-0.012923008416046397,0.27107414473319835,0.004706108776073053,0.9624710526068893,-0.001195687251854895,-0.025527055102209182
1690840807568321800,0.21332177734375,0.5489951622970308,-0.012683318363262105,0.2710135632662058,0.004610930316162554,0.9624912781072748,-0.0011767565768758138,-0.02505562209517182
1690840807578362600,0.223362548828125,0.5489753119033279,-0.01231596312744937,0.27100626371825093,0.004585076967654013,0.9624982509151851,-0.0010865988561551856,-0.024299527403717647
1690840807588402700,0.233402587890625,0.5488839232516206,-0.011861491418109636,0.2709646802141476,0.004622593759708888,0.9625157102416925,-0.0009385678892906437,-0.023344501437454507
1690840807598442800,0.24344287109375,0.5488691503952108,-0.01134623420379863,0.2709598916421687,0.0047299566210049805,0.9625234224168164,-0.0007376339371205661,-0.022243605007001302
1690840807608513800,0.253513671875,0.5489644438957534,-0.010833966904119847,0.27100784980474,0.004875438506788364,0.9625159567107225,-0.0005183551213344947,-0.02113826280606326
1690840807618553900,0.263553955078125,0.5489786479713814,-0.010364702655950528,0.27101655016059967,0.005014342245777044,0.9625188705065267,-0.00031412682458321895,-0.02012406919762486
1690840807628595000,0.273594970703125,0.5490405026750831,-0.00999396959796231,0.27104793175518277,0.005094043868012614,0.9625140128689346,-0.0001686310655885585,-0.01933128975824848
1690840807638634800,0.283634765625,0.5490420179181531,-0.009755496657076033,0.27104986711097084,0.005104069287608519,0.9625159257145278,-0.00009626341639023444,-0.018832939420671588
1690840807648674800,0.2936748046875,0.5490643083745557,-0.00967101785203553,0.2710612473696586,0.005052876595883541,0.9625135617565596,-0.00009916847798517353,-0.018671818068039348
1690840807658715000,0.30371484375,0.5490533464363537,-0.009741897925071664,0.27105597388148867,0.004966875069813772,0.9625142810002117,-0.00016375153258385968,-0.01884331851457052
1690840807668755700,0.313755615234375,0.5491534877590243,-0.009956281643125708,0.2711034577457956,0.004870581860363963,0.9624987476015584,-0.00027465528965368543,-0.01931593834662891
1690840807678795800,0.323795654296875,0.5491378327079791,-0.010275554828126032,0.2710945429784296,0.004810613460064033,0.962497794683151,-0.0003956686994608025,-0.01999625753127478
1690840807688835800,0.3338359375,0.5491778398633522,-0.010657556048495215,0.2711117797370046,0.004806201530598145,0.9624888270704506,-0.0005057896197908116,-0.020791306195528304
1690840807698877000,0.343876953125,0.5491781252828994,-0.01105522068617197,0.2711096781004766,0.004831512736983221,0.9624847615440213,-0.0006046791048319217,-0.02161051363736187
1690840807708916700,0.353916748046875,0.5491675318067174,-0.011425227594426835,0.27110226846497054,0.004883123817581787,0.9624825460950854,-0.0006820523710174226,-0.022364840563333356
