time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1691248242383612000,0.11061181640625,2.030465187254455,0.003321120735972998,0.8495966402784862,-0.008712505959127335,0.527414584631771,-0.002909628158691111,-0.001440806087717139
1691248242393652000,0.12065185546875,2.030444047916333,0.00328616760584249,0.8495912091272063,-0.008647291956634969,0.5274236477218179,-0.0029040948992841925,-0.001468182509867744
1691248242403692000,0.130692138671875,2.0304328906883446,0.003167649872166178,0.8495886253851838,-0.00855215953228223,0.5274278244636904,-0.0030048124352502334,-0.0017642964866303634
1691248242413733000,0.140733154296875,2.0304583808264924,0.0030205453914845435,0.8495958036896989,-0.008443740663544723,0.5274164346226992,-0.0031390143161060423,-0.002147617870281414
1691248242423773000,0.15077294921875,2.0305065831208076,0.0028707834232835185,0.8496089144686723,-0.008353525874678596,0.5273952530639995,-0.0032947914568356848,-0.0025704961167931657
1691248242433812700,0.160812744140625,2.03053497735665,0.002779948104688581,0.8496166081439923,-0.00829917456226784,0.5273827173412803,-0.0033896313247515366,-0.0028275847348173478
1691248242443853800,0.170853759765625,2.030528937824498,0.002740300063421939,0.8496150985753369,-0.008281361653867307,0.5273850532553419,-0.003436607032343356,-0.002949204130596615
1691248242453894000,0.180893798828125,2.030500765441898,0.002782660163493495,0.8496075420675294,-0.008325600261540708,0.5273970565445099,-0.0034102692361772137,-0.0028596512654087917
1691248242463934000,0.190933837890625,2.0304676792330065,0.002874022822305509,0.8495985936407364,-0.008403437330684174,0.527411458435235,-0.0033368422564331738,-0.002638370900905967
1691248242473974000,0.20097412109375,2.030446054587239,0.002982636100206346,0.8495926076544333,-0.008495655861356637,0.5274210692756585,-0.003249281021780673,-0.0023749222626589144
1691248242484045000,0.211045166015625,2.030427564485811,0.0030687129986837437,0.8495875002377413,-0.00854693527634558,0.5274293677630489,-0.0031592205552825126,-0.0021310114879350174
1691248242494086100,0.221086181640625,2.030423388655407,0.003102787799757765,0.8495863033513694,-0.008582025695412948,0.5274312669425398,-0.0031375937912756302,-0.002058300273901476
1691248242504126000,0.2311259765625,2.0304356775329335,0.00309571656166991,0.8495895782742299,-0.008575090320316885,0.5274260675654714,-0.0031424212176734776,-0.0020740148962372666
1691248242514165800,0.241165771484375,2.0304482963696806,0.0030245396878131104,0.8495931064655503,-0.008518916077831847,0.5274204011334886,-0.003203834420782298,-0.0022535053128499537
1691248242524205800,0.251205810546875,2.0304749576322734,0.0029326793330432155,0.8496003570612607,-0.008429217958211393,0.5274086544528415,-0.003266804441563584,-0.0024575179916922762
1691248242534247000,0.261246826171875,2.030500697654454,0.0028555341144185487,0.8496073495000278,-0.008356809962045937,0.527397467502081,-0.003322463975967473,-0.0026335797485458343
1691248242544287000,0.271286865234375,2.0305134780583685,0.0028152548785783456,0.8496108151456456,-0.008317184028238937,0.5273918884331726,-0.003349800599742985,-0.0027225718260405324
1691248242554327000,0.2813271484375,2.03051369030302,0.002836696361719343,0.8496108168337472,-0.008340605702212239,0.5273918574395356,-0.0033374645376026183,-0.00267899402202038
1691248242564368100,0.2913681640625,2.030494170922709,0.00288919302258925,0.8496055263941195,-0.008398447909822585,0.5274002696964029,-0.003307708456330116,-0.0025729752486950684
1691248242574408000,0.301407958984375,2.030475466428487,0.0029637860093393513,0.849600418244313,-0.008454167597794441,0.5274085975179604,-0.0032403484717435298,-0.0023797526348207218
1691248242584447700,0.31144775390625,2.0304564830073852,0.0030202509405323694,0.8495952526703173,-0.00850299369117914,0.5274168635015812,-0.003195658243974963,-0.002244171474110971
1691248242594487800,0.32148779296875,2.030438306331676,0.0030552535144469173,0.8495903413727887,-0.008540034411110033,0.5274246326184823,-0.003174370819206498,-0.002170999356445734
1691248242604529000,0.33152880859375,2.03043536216906,0.003046801079912639,0.8495895863592406,-0.008536391545753523,0.5274258290341823,-0.0031845295999201797,-0.0021971649679538557
1691248242614599000,0.341598876953125,2.030449165356807,0.002998023778489148,0.8495933656104503,-0.008495145849463924,0.527419783566126,-0.0032240150767651175,-0.0023157716047771115
1691248242624640000,0.351639892578125,2.0304608998388924,0.002935257670472543,0.8495966391896869,-0.008433986894584461,0.5274146145839871,-0.003267155749152942,-0.0024553359694948424
1691248242634680000,0.36168017578125,2.0304788039170134,0.0028771737518095888,0.8496015484041932,-0.008387034617187941,0.5274069052072199,-0.0033162301794721566,-0.002600068911883109
1691248242644719900,0.371719970703125,2.0304931567623874,0.0028597142440905843,0.8496053358586442,-0.00836537834160292,0.5274006210024476,-0.003323844066101367,-0.002631484208840529
1691248242654761000,0.381760986328125,2.030493623794002,0.0028720343622714037,0.8496054574404959,-0.008377664989707328,0.5274005646161315,-0.003315645331804423,-0.0026045585939259565
1691248242664800800,0.39180078125,2.0304781248635306,0.0029174104071517243,0.8496012371231014,-0.00841102379505307,0.5274072833861834,-0.0032741561931718894,-0.0024861298708510155
1691248242674840800,0.4018408203125,2.030467210823911,0.002967341814056437,0.8495982145562159,-0.008444720460899615,0.5274121014751417,-0.0032256561136597786,-0.0023510015517275323
1691248242684881000,0.411880859375,2.030453320616672,0.0030111416876921963,0.8495944334462346,-0.008482368003350548,0.527418178233299,-0.0031907759414730934,-0.0022454711168458466
1691248242694922000,0.421921875,2.030453399500291,0.003026662540657625,0.8495944288818241,-0.008486269348273626,0.5274182984057768,-0.00316947272242087,-0.0021929000783788826
1691248242704962000,0.431962158203125,2.0304638960950596,0.003008003723769281,0.8495972631897315,-0.00847484910409166,0.5274137996069844,-0.003188713334176295,-0.0022453207838727123
