time,seconds_elapsed,z,y,x
1691248242356484900,0.08348486328125,-0.00640783179551363,-0.019776102155447006,0.057918693870306015
1691248242366525000,0.09352490234375,-0.004764928016811609,-0.008946357294917107,0.03887442871928215
1691248242376565000,0.10356494140625,-0.005330050364136696,0.00021731393644586205,0.014970960095524788
1691248242386606000,0.113606201171875,-0.007657120935618877,0.004246676806360483,-0.01315148826688528
1691248242396646100,0.123646240234375,-0.00515774404630065,0.0062970444560050964,-0.04713129252195358
1691248242406717200,0.13371728515625,-0.0016863135388121009,0.007230216171592474,-0.05301794409751892
1691248242416757000,0.143757080078125,0.00166633992921561,0.007105313707143068,-0.06325194239616394
1691248242426796800,0.153796875,-0.0012785836588591337,0.003479952458292246,-0.04697656258940697
1691248242436838000,0.163837890625,-0.0046605318784713745,0.0039145806804299355,-0.03471856564283371
1691248242446878000,0.1738779296875,-0.006453372072428465,-0.005534847732633352,-0.01510198786854744
1691248242456918000,0.18391796875,-0.008851282298564911,-0.007918376475572586,0.0031246868893504143
1691248242466958000,0.1939580078125,-0.006713296286761761,-0.01061962079256773,0.0035987296141684055
1691248242476999200,0.203999267578125,-0.0068235513754189014,-0.009514941833913326,0.007780425250530243
1691248242487039000,0.2140390625,-0.005017661955207586,-0.006083725020289421,-0.01167263463139534
1691248242497078800,0.224078857421875,-0.00433029979467392,-0.003864513011649251,-0.01776115410029888
1691248242507119900,0.234119873046875,-0.00242107966914773,0.0028543761000037193,-0.03647385537624359
1691248242517160000,0.244159912109375,-0.00210682675242424,0.004461593925952911,-0.03899800032377243
1691248242527200000,0.254199951171875,-0.0008703210623934865,0.005787315312772989,-0.03659609332680702
1691248242537271000,0.26427099609375,-0.0035635759122669697,0.0030269487760961056,-0.029529396444559097
1691248242547311000,0.27431103515625,-0.004659732803702354,-0.0025691515766084194,-0.014394385740160942
1691248242557352200,0.284352294921875,-0.008422779850661755,-0.008264853619039059,-0.01025556679815054
1691248242567392000,0.29439208984375,-0.006478671915829182,-0.00983345601707697,-0.00020266656065359712
1691248242577431800,0.304431884765625,-0.006726612336933613,-0.006702910177409649,-0.004796885885298252
1691248242587472000,0.314471923828125,-0.004905542824417353,-0.006968693342059851,-0.009587912820279598
1691248242597513000,0.324512939453125,-0.005756688769906759,-0.001127316034398973,-0.018667694181203842
1691248242607553000,0.334552978515625,-0.003338006092235446,0.0018317222129553556,-0.0323246493935585
1691248242617593000,0.344593017578125,-0.002424275502562523,0.002549444092437625,-0.031612519174814224
1691248242627634200,0.35463427734375,-0.003096190979704261,0.004036020487546921,-0.03772607445716858
1691248242637673700,0.364673828125,-0.002810700098052621,0.0008492820779792964,-0.024953819811344147
1691248242647713800,0.3747138671875,-0.0026373283471912146,-0.0010748518398031592,-0.019474098458886147
1691248242657753900,0.38475390625,-0.007814247161149979,-0.006226737052202225,-0.011174623854458332
1691248242667825000,0.394824951171875,-0.006852846127003431,-0.00751996785402298,-0.0032948628067970276
1691248242677865000,0.404864990234375,-0.006030195392668247,-0.0065436530858278275,-0.009857690893113613
1691248242687906000,0.414906005859375,-0.005006742663681507,-0.0029971215408295393,-0.01329769566655159
1691248242697946000,0.424946044921875,-0.0036573191173374653,-0.0008029430755414069,-0.02419774793088436
1691248242707986000,0.43498583984375,-0.0025598304346203804,0.0012218583142384887,-0.02749074622988701
1691248242718026800,0.44502685546875,-0.003204049076884985,0.0027483822777867317,-0.03470365330576897
1691248242728066800,0.45506689453125,-0.00415453128516674,0.0020719394087791443,-0.028205005452036858
1691248242738107000,0.46510693359375,-0.0032586439047008753,-0.0006410228670574725,-0.02394288405776024
1691248242748147000,0.47514697265625,-0.005514607764780521,-0.003875698195770383,-0.016586434096097946
1691248242758188000,0.48518798828125,-0.006758570205420256,-0.003284476464614272,-0.00999431125819683
1691248242768228000,0.49522802734375,-0.006700513418763876,-0.004479969386011362,-0.012229235842823982
1691248242778268000,0.505267822265625,-0.005846437532454729,-0.0035747610963881016,-0.00920335203409195
1691248242788308700,0.515308837890625,-0.005283178761601448,-0.003049319377169013,-0.017676198855042458
1691248242798379000,0.52537890625,-0.004591289907693863,-0.0003121224872302264,-0.020955348387360573
1691248242808419800,0.535419921875,-0.002910302486270666,-0.00025779398856684566,-0.026389796286821365
1691248242818460000,0.5454599609375,-0.0029547770973294973,0.0015062838792800903,-0.03069319762289524
1691248242828500000,0.5555,-0.0028868666850030422,-0.0007257114048115909,-0.025777269154787064
1691248242838541000,0.565541015625,-0.003998470026999712,-0.001967277145013213,-0.02370825968682766
1691248242848580900,0.575580810546875,-0.004196875728666782,-0.0031348068732768297,-0.012939234264194965
1691248242858621000,0.585620849609375,-0.005421929527074099,-0.003865312086418271,-0.011937885545194149
1691248242868661000,0.595660888671875,-0.0049489522352814674,-0.004661863669753075,-0.01031735260039568
1691248242878701800,0.605701904296875,-0.004402738064527512,-0.00301682879216969,-0.013678793795406818
1691248242888742000,0.615741943359375,-0.006807039491832256,-0.0025747441686689854,-0.019945744425058365
1691248242898782000,0.625781982421875,-0.003263437654823065,-0.0017150756902992725,-0.02190529927611351
1691248242908823000,0.635822998046875,-0.0018008295446634293,0.004867991898208857,-0.027827635407447815
1691248242918863000,0.645863037109375,-0.0035776905715465546,0.0012389025650918484,-0.027715783566236496
1691248242928938200,0.655938232421875,-0.004195011220872402,-0.0016884441720321774,-0.023358851671218872
1691248242938978300,0.665978271484375,-0.00544323492795229,-0.0026900589000433683,-0.01793132908642292
1691248242949018000,0.67601806640625,-0.004024568945169449,-0.0033513219095766544,-0.01534619927406311
