,parties,p_names,file_list
184,SPD,Markus Töns,
185,SPD,Carsten Träger,
186,SPD,Anja Troff-Schaffarzyk,
187,SPD,Derya Türk-Nachbaur,
188,SPD,Frank Ullrich,
189,SPD,Marja-Liisa Völlers,
190,SPD,Dirk Vöpel,
191,SPD,Dr. Carolin Wagner,
192,SPD,Maja Wallstein,
193,SPD,Hannes Walter,
194,SPD,Carmen Wegge,
195,SPD,Melanie Wegling,
196,SPD,Dr. Joe Weingarten,
197,SPD,Lena Werner,
198,SPD,Bernd Westphal,
199,SPD,Dirk Wiese,
200,SPD,Dr. Herbert Wollmann,
201,SPD,Gülistan Yüksel,
202,SPD,Stefan Zierke,
203,SPD,Dr. Jens Zimmermann,
204,SPD,Armand Zorn,
205,SPD,Katrin Zschau,
206,CDU/CSU,Knut Abraham,
207,CDU/CSU,Stephan Albani,
208,CDU/CSU,Norbert Maria Altenkamp,
209,CDU/CSU,Philipp Amthor,
210,CDU/CSU,Artur Auernhammer,
211,CDU/CSU,Peter Aumer,
212,CDU/CSU,Dorothee Bär,
213,CDU/CSU,Thomas Bareiß,
214,CDU/CSU,Dr. André Berghegger,
215,CDU/CSU,Peter Beyer,
216,CDU/CSU,Marc Biadacz,
217,CDU/CSU,Steffen Bilger,
218,CDU/CSU,Simone Borchardt,
219,CDU/CSU,Michael Brand (Fulda),
220,CDU/CSU,Dr. Reinhard Brandl,
221,CDU/CSU,Dr. Helge Braun,
222,CDU/CSU,Silvia Breher,
223,CDU/CSU,Sebastian Brehm,
224,CDU/CSU,Heike Brehmer,
225,CDU/CSU,Michael Breilmann,
226,CDU/CSU,Ralph Brinkhaus,
227,CDU/CSU,Dr. Carsten Brodesser,
228,CDU/CSU,Dr. Marlon Bröhr,
229,CDU/CSU,Yannick Bury,
230,CDU/CSU,Gitta Connemann,
231,CDU/CSU,Mario Czaja,
232,CDU/CSU,Astrid Damerow,
233,CDU/CSU,Alexander Dobrindt,
234,CDU/CSU,Michael Donth,
235,CDU/CSU,Hansjörg Durz,
236,CDU/CSU,Ralph Edelhäußer,
237,CDU/CSU,Alexander Engelhard,
238,CDU/CSU,Martina Englhardt-Kopf,
239,CDU/CSU,Thomas Erndl,
240,CDU/CSU,Hermann Färber,
241,CDU/CSU,Uwe Feiler,
242,CDU/CSU,Enak Ferlemann,
243,CDU/CSU,Thorsten Frei,
244,CDU/CSU,Dr. Hans-Peter Friedrich (Hof),
245,CDU/CSU,Michael Frieser,
246,CDU/CSU,Ingo Gädechens,
247,CDU/CSU,Dr. Thomas Gebhart,
248,CDU/CSU,Dr. Jonas Geissler,
249,CDU/CSU,Fabian Gramling,
250,CDU/CSU,Dr. Ingeborg Gräßle,
251,CDU/CSU,Hermann Gröhe,
252,CDU/CSU,Michael Grosse-Brömer,
253,CDU/CSU,Markus Grübel,
254,CDU/CSU,Manfred Grund,
255,CDU/CSU,Oliver Grundmann,
256,CDU/CSU,Monika Grütters,
257,CDU/CSU,Serap Güler,
258,CDU/CSU,Fritz Güntzler,
259,CDU/CSU,Olav Gutting,
260,CDU/CSU,Christian Haase,
261,CDU/CSU,Florian Hahn,
262,CDU/CSU,Jürgen Hardt,
263,CDU/CSU,Matthias Hauer,
