,parties,p_names,file_list
714,DIE LINKE.,Ralph Lenkert,
715,DIE LINKE.,Christian Leye,
716,DIE LINKE.,Dr. Gesine Lötzsch,
717,DIE LINKE.,Thomas Lutze,
718,DIE LINKE.,Pascal Meiser,
719,DIE LINKE.,Amira Mohamed Ali,
720,DIE LINKE.,Cornelia Möhring,
721,DIE LINKE.,Zaklin Nastic,
722,DIE LINKE.,Petra Pau,
723,DIE LINKE.,Sören Pellmann,
724,DIE LINKE.,Victor Perli,
725,DIE LINKE.,Heidi Reichinnek,
726,DIE LINKE.,Martina Renner,
727,DIE LINKE.,Bernd Riexinger,
728,DIE LINKE.,Dr. Petra Sitte,
729,DIE LINKE.,Jessica Tatti,
730,DIE LINKE.,Alexander Ulrich,
731,DIE LINKE.,Kathrin Vogler,
732,DIE LINKE.,Dr. Sahra Wagenknecht,
733,DIE LINKE.,Janine Wissler,
734,Fraktionslos,Matthias Helferich,
735,Fraktionslos,Stefan Seidler,
