time,Bending Moment,Bm X,Bm Y,Axial Force,Torsion
2022-01-18T07:00:00Z,0.715194916931042,-0.47226,0.537098,22.00024,-1.334612
2022-01-18T07:00:00.0004Z,0.5647776539488792,0.251872,0.505504,-5.50006,0.774936
2022-01-18T07:00:00.0008Z,0.5366844440488283,-0.251872,0.47391,-22.00024,0.21526
2022-01-18T07:00:00.0012Z,0.2272787156598699,0.188904,0.126376,55.000603,0.387468
2022-01-18T07:00:00.0016Z,0.4287468792656105,0.346324,0.252752,-154.001678,0.21526
2022-01-18T07:00:00.002Z,0.7923559752560714,-0.062968,-0.78985,-66.000717,-0.301364
2022-01-18T07:00:00.0024Z,0.5693496138753411,0.188904,0.537098,-176.001923,0.258312
2022-01-18T07:00:00.0028Z,0.33518706023353584,0.251872,0.221158,16.500179,-0.258312
2022-01-18T07:00:00.0032Z,0.724132,0.724132,0,137.501495,-0.387468
2022-01-18T07:00:00.0036Z,0.5279323237271989,-0.503744,0.15797,22.00024,0.731884
2022-01-18T07:00:00.004Z,0.9103352014900885,0.503744,0.758256,27.500301,-0.129156
2022-01-18T07:00:00.0044Z,0.3601403357859267,-0.094452,-0.347534,121.00132,-0.688832
2022-01-18T07:00:00.0048Z,0.0705972067436099,-0.031484,0.063188,-16.500179,0.301364
2022-01-18T07:00:00.0052Z,0.8920589872872757,-0.62968,-0.63188,-137.501495,-1.765132
2022-01-18T07:00:00.0056Z,0.8851920795398025,0.031484,-0.884632,-38.50042,-0.21526
2022-01-18T07:00:00.006Z,0.5094107017328945,-0.062968,0.505504,55.000603,0.21526
2022-01-18T07:00:00.0064Z,0.6205208009793064,0.566712,-0.252752,44.000481,-0.731884
2022-01-18T07:00:00.0068Z,0.21179162023082973,-0.094452,-0.189564,-5.50006,-0.129156
2022-01-18T07:00:00.0072Z,0.16962835772358348,-0.15742,0.063188,-16.500179,-0.387468
2022-01-18T07:00:00.0076Z,0.4214424534714081,-0.094452,-0.410722,49.500542,0.301364
2022-01-18T07:00:00.008Z,0.6511938196881171,0.15742,-0.63188,-49.500542,0.129156
2022-01-18T07:00:00.0084Z,0.35298603371804954,-0.15742,-0.31594,-27.500301,-0.602728
2022-01-18T07:00:00.0088Z,0.6778403258850864,0.31484,0.600286,-16.500179,0.559676
2022-01-18T07:00:00.0092Z,0.8536188093639924,-0.031484,-0.853038,-115.501259,-0.559676
2022-01-18T07:00:00.0096Z,0.6690442404654569,0.47226,-0.47391,-38.50042,0.172208
2022-01-18T07:00:00.01Z,0.22264108196826568,0.220388,0.031594,-5.50006,-0.817988
2022-01-18T07:00:00.0104Z,0.8210215509570988,-0.31484,-0.758256,-16.500179,-1.033248
2022-01-18T07:00:00.0108Z,0.42920785819926455,-0.251872,-0.347534,-66.000717,-0.731884
2022-01-18T07:00:00.0112Z,0.5501535044876111,0.503744,-0.221158,-11.00012,0.86104
2022-01-18T07:00:00.0116Z,0.3287975868585413,-0.31484,0.094782,22.00024,0.473572
2022-01-18T07:00:00.012Z,0.4764684994246734,-0.47226,-0.063188,115.501259,1.0763
2022-01-18T07:00:00.0124Z,0.28511191411794773,0.283356,-0.031594,66.000717,-0.559676
2022-01-18T07:00:00.0128Z,0.3102604004896532,-0.283356,-0.126376,-22.00024,0.172208
2022-01-18T07:00:00.0132Z,0.44190684879508263,0.440776,0.031594,-27.500301,-0.172208
2022-01-18T07:00:00.0136Z,0.6310888835021577,-0.377808,-0.505504,-60.50066,0.129156
2022-01-18T07:00:00.014Z,0.3806505403595271,0.346324,0.15797,-49.500542,-0.817988
2022-01-18T07:00:00.0144Z,0.5175101804641141,0.31484,0.410722,-60.50066,-0.172208
2022-01-18T07:00:00.0148Z,0.3568235949149103,0.251872,-0.252752,93.501022,0.129156
2022-01-18T07:00:00.0152Z,0.19216074612677794,0.031484,0.189564,38.50042,-0.172208
2022-01-18T07:00:00.0156Z,0.094452,0.094452,0,93.501022,-0.043052
2022-01-18T07:00:00.016Z,0.36866137084321704,0.346324,0.126376,-49.500542,0.344416
2022-01-18T07:00:00.0164Z,0.4242368127779578,0.31484,-0.284346,-82.5009,0.086104
2022-01-18T07:00:00.0168Z,0.1997485397193181,-0.062968,-0.189564,-88.000961,-1.162404
2022-01-18T07:00:00.0172Z,0.36964815331880124,0.125936,0.347534,16.500179,0.043052
2022-01-18T07:00:00.0176Z,0.13380884809309138,-0.094452,0.094782,-44.000481,0.129156
2022-01-18T07:00:00.018Z,0.5635970112057018,-0.503744,-0.252752,-60.50066,0.129156
2022-01-18T07:00:00.0184Z,0.466115255948569,0.220388,-0.410722,99.001083,0.172208
2022-01-18T07:00:00.0188Z,1.0258664102191863,0.976004,-0.31594,-82.5009,-0.258312
2022-01-18T07:00:00.0192Z,0.4694938766970236,-0.15742,-0.442316,71.500778,0.172208
2022-01-18T07:00:00.0196Z,0.3590598007296278,0.346324,-0.094782,-126.501381,-0.559676
2022-01-18T07:00:00.02Z,0.4014265442792741,-0.283356,0.284346,-5.50006,-0.258312
2022-01-18T07:00:00.0204Z,0.697171927045259,0.661164,0.221158,71.500778,-0.129156
2022-01-18T07:00:00.0208Z,0.503744,0.503744,0,-44.000481,-0.043052
2022-01-18T07:00:00.0212Z,0.5133407893592715,-0.377808,0.347534,27.500301,0.387468
2022-01-18T07:00:00.0216Z,0.9103352014900885,-0.503744,-0.758256,-115.501259,-0.344416
2022-01-18T07:00:00.022Z,0.6765031692579125,-0.598196,-0.31594,-22.00024,-0.86104
2022-01-18T07:00:00.0224Z,0.3852128686116288,-0.220388,0.31594,-55.000603,-0.387468
2022-01-18T07:00:00.0228Z,0.283356,0.283356,0,-11.00012,-0.172208
2022-01-18T07:00:00.0232Z,0.32215377170537673,-0.062968,-0.31594,-16.500179,-0.258312
2022-01-18T07:00:00.0236Z,0.5125833054831185,-0.503744,0.094782,-126.501381,-0.688832
2022-01-18T07:00:00.024Z,0.1411944134872198,0.062968,0.126376,11.00012,-0.129156
2022-01-18T07:00:00.0244Z,0.6504261951059475,-0.409292,-0.505504,-38.50042,-0.774936
2022-01-18T07:00:00.0248Z,0.5389450206913503,-0.535228,-0.063188,38.50042,-0.947144
2022-01-18T07:00:00.0252Z,0.43853039909224084,-0.220388,-0.379128,-66.000717,-0.086104
2022-01-18T07:00:00.0256Z,0.21134887920213818,0.188904,-0.094782,5.50006,-1.119352
2022-01-18T07:00:00.026Z,0.49797994788947075,0.47226,-0.15797,-33.000359,0.172208
2022-01-18T07:00:00.0264Z,0.5764822383803337,-0.094452,-0.568692,-93.501022,-0.21526
2022-01-18T07:00:00.0268Z,0.7040824847132614,-0.692648,0.126376,-66.000717,-1.033248
2022-01-18T07:00:00.0272Z,0.1840535280944106,0.094452,-0.15797,-66.000717,-0.129156
2022-01-18T07:00:00.0276Z,0.5382309240762742,0.503744,-0.189564,-5.50006,-0.473572
2022-01-18T07:00:00.028Z,0.6133540232948668,0.125936,-0.600286,-33.000359,0.344416
2022-01-18T07:00:00.0284Z,0.3413757005587832,-0.188904,-0.284346,-44.000481,0.731884
2022-01-18T07:00:00.0288Z,0.49035758808852953,-0.125936,0.47391,11.00012,-0.43052
2022-01-18T07:00:00.0292Z,0.715194916931042,-0.47226,0.537098,-33.000359,0.86104
2022-01-18T07:00:00.0296Z,0.5990297448808364,0.598196,0.031594,-16.500179,-0.129156
2022-01-18T07:00:00.03Z,0.3413757005587832,0.188904,0.284346,-88.000961,-0.21526
2022-01-18T07:00:00.0304Z,0.3852128686116288,-0.220388,-0.31594,5.50006,-0.602728
2022-01-18T07:00:00.0308Z,0.16962835772358348,-0.15742,0.063188,-99.001083,-0.731884
2022-01-18T07:00:00.0312Z,0.3601403357859267,-0.094452,-0.347534,33.000359,0.043052
2022-01-18T07:00:00.0316Z,0.283356,-0.283356,0,22.00024,0.559676
2022-01-18T07:00:00.032Z,0.07044962640071273,0.062968,0.031594,0,0.904092
2022-01-18T07:00:00.0324Z,0.3804330199128357,-0.031484,0.379128,104.501144,-0.129156
2022-01-18T07:00:00.0328Z,1.0773265865186843,-0.566712,-0.916226,-38.50042,-0.258312
2022-01-18T07:00:00.0332Z,0.8567166034109529,-0.818584,0.252752,-181.501984,-0.344416
2022-01-18T07:00:00.0336Z,0.14089925280142546,-0.125936,-0.063188,11.00012,-0.387468
2022-01-18T07:00:00.034Z,0.566712,0.566712,0,-27.500301,-0.86104
2022-01-18T07:00:00.0344Z,0.0705972067436099,-0.031484,-0.063188,5.50006,0.64578
2022-01-18T07:00:00.0348Z,0.33518706023353584,0.251872,0.221158,16.500179,-0.817988
2022-01-18T07:00:00.0352Z,0.5798383417367292,0.409292,-0.410722,66.000717,0.43052
2022-01-18T07:00:00.0356Z,0.44528216393653136,0.440776,0.063188,71.500778,-0.301364
2022-01-18T07:00:00.036Z,0.4689393422991934,-0.31484,0.347534,-110.001205,-1.205456
2022-01-18T07:00:00.0364Z,0.9202676404720531,0.47226,-0.78985,-77.000839,-0.990196
2022-01-18T07:00:00.0368Z,0.7270984203448665,0.692648,0.221158,-44.000481,-0.990196
2022-01-18T07:00:00.0372Z,0.34776212245154015,0.346324,-0.031594,-22.00024,-0.086104
2022-01-18T07:00:00.0376Z,0.45085153842479014,0.440776,0.094782,-66.000717,-0.172208
2022-01-18T07:00:00.038Z,0.29123464206718264,0.062968,0.284346,-38.50042,-0.172208
2022-01-18T07:00:00.0384Z,0.25405071131567414,-0.220388,-0.126376,16.500179,-0.129156
2022-01-18T07:00:00.0388Z,0.5798383417367292,-0.409292,-0.410722,-104.501144,-0.172208
2022-01-18T07:00:00.0392Z,0.3244150792364621,-0.283356,0.15797,-38.50042,-0.21526
2022-01-18T07:00:00.0396Z,0.24640528909907758,0.15742,-0.189564,-66.000717,-0.688832
2022-01-18T07:00:00.04Z,0.2908531969568153,0.188904,0.221158,49.500542,0.688832
2022-01-18T07:00:00.0404Z,0.6797737533885815,0.661164,-0.15797,-16.500179,0.21526
2022-01-18T07:00:00.0408Z,0.5992456191579543,-0.188904,0.568692,27.500301,-0.21526
2022-01-18T07:00:00.0412Z,0.8624403373428217,0.346324,0.78985,82.5009,-0.86104
2022-01-18T07:00:00.0416Z,1.0792942420526481,-0.377808,-1.011008,-44.000481,0.129156
2022-01-18T07:00:00.042Z,0.25405071131567414,-0.220388,-0.126376,27.500301,-0.258312
2022-01-18T07:00:00.0424Z,0.7363642299433073,0.503744,0.537098,-49.500542,-0.43052
2022-01-18T07:00:00.0428Z,0.4682285799435998,0.440776,-0.15797,49.500542,0.21526
2022-01-18T07:00:00.0432Z,0.25470535086644724,0.031484,0.252752,-60.50066,0.129156
2022-01-18T07:00:00.0436Z,0.3798580683623819,0.251872,-0.284346,-93.501022,-0.387468
2022-01-18T07:00:00.044Z,0.8851920795398025,0.031484,-0.884632,-38.50042,-0.43052
2022-01-18T07:00:00.0444Z,0.8701211345646076,0.598196,-0.63188,-71.500778,-0.602728
2022-01-18T07:00:00.0448Z,0.5125833054831185,-0.503744,-0.094782,-66.000717,-0.387468
2022-01-18T07:00:00.0452Z,0.12983858029106757,0.125936,0.031594,-33.000359,0.473572
2022-01-18T07:00:00.0456Z,0.36750338188375903,0.31484,-0.189564,77.000839,0.86104
2022-01-18T07:00:00.046Z,0.271462552415614,-0.15742,-0.221158,16.500179,-0.688832
2022-01-18T07:00:00.0464Z,0.5064835004933527,-0.031484,-0.505504,55.000603,0.344416
2022-01-18T07:00:00.0468Z,0.458535031979019,0.440776,0.126376,-71.500778,-0.043052
2022-01-18T07:00:00.0472Z,0.3847532801211706,-0.31484,0.221158,-82.5009,0.043052
2022-01-18T07:00:00.0476Z,0.6504261951059475,-0.409292,0.505504,-60.50066,-0.817988
2022-01-18T07:00:00.048Z,0.12983858029106757,-0.125936,-0.031594,-49.500542,0.129156
2022-01-18T07:00:00.0484Z,1.1379190018626106,0.62968,-0.94782,5.50006,-0.172208
2022-01-18T07:00:00.0488Z,0.667923245904797,-0.661164,0.094782,0,-0.688832
2022-01-18T07:00:00.0492Z,0.45228820917640555,-0.094452,0.442316,5.50006,-0.172208
2022-01-18T07:00:00.0496Z,1.050588533331675,-0.566712,0.884632,11.00012,0.559676
2022-01-18T07:00:00.05Z,0.8524132377949091,-0.850068,0.063188,22.00024,-1.119352
2022-01-18T07:00:00.0504Z,0.5955321314723496,-0.31484,-0.505504,-44.000481,0.086104
2022-01-18T07:00:00.0508Z,0.22338778664018316,-0.031484,0.221158,-38.50042,-0.129156
2022-01-18T07:00:00.0512Z,0.5992456191579543,0.188904,0.568692,82.5009,0.64578
2022-01-18T07:00:00.0516Z,0.09959598957789415,0.094452,0.031594,-11.00012,-0.258312
2022-01-18T07:00:00.052Z,0.17841179745745514,0.125936,0.126376,66.000717,-0.172208
2022-01-18T07:00:00.0524Z,0.09959598957789415,0.094452,0.031594,-77.000839,0.43052
2022-01-18T07:00:00.0528Z,0.2860837114762041,-0.031484,0.284346,-49.500542,-0.086104
2022-01-18T07:00:00.0532Z,1.2071590629573221,0.125936,-1.200572,-132.001434,-0.904092
2022-01-18T07:00:00.0536Z,0.36750338188375903,0.31484,0.189564,-44.000481,-0.774936
2022-01-18T07:00:00.054Z,0.6658460061005097,0.346324,0.568692,77.000839,-0.602728
2022-01-18T07:00:00.0544Z,0.4832306575580651,0.094452,0.47391,16.500179,-0.129156
2022-01-18T07:00:00.0548Z,0.542925104831228,0.31484,-0.442316,-99.001083,0.387468
2022-01-18T07:00:00.0552Z,0.6310888835021577,0.377808,0.505504,22.00024,0.043052
2022-01-18T07:00:00.0556Z,0.1915278101268847,0.188904,0.031594,-93.501022,-0.387468
2022-01-18T07:00:00.056Z,0.9183872016203187,-0.062968,-0.916226,-126.501381,-0.774936
2022-01-18T07:00:00.0564Z,0.35224813200356364,-0.31484,0.15797,-38.50042,-0.688832
2022-01-18T07:00:00.0568Z,0.6127598281480273,0.346324,0.505504,55.000603,0.688832
2022-01-18T07:00:00.0572Z,0.4598949009849968,-0.125936,-0.442316,5.50006,0.301364
2022-01-18T07:00:00.0576Z,0.3590598007296278,0.346324,0.094782,-44.000481,-0.129156
2022-01-18T07:00:00.058Z,0.7248208980568924,0.724132,0.031594,-5.50006,0.129156
2022-01-18T07:00:00.0584Z,0.6898423514774952,-0.188904,-0.663474,-49.500542,0.086104
2022-01-18T07:00:00.0588Z,0.5064835004933527,0.031484,-0.505504,-99.001083,-0.731884
2022-01-18T07:00:00.0592Z,0.4728546632740339,0.377808,0.284346,5.50006,0.129156
2022-01-18T07:00:00.0596Z,0.63047211138638,0.62968,0.031594,-5.50006,0.301364
2022-01-18T07:00:00.06Z,0.8210191766335303,0.818584,0.063188,27.500301,-0.473572
2022-01-18T07:00:00.0604Z,0.4014265442792741,0.283356,-0.284346,-38.50042,-1.162404
2022-01-18T07:00:00.0608Z,0.442316,0,-0.442316,77.000839,-0.129156
2022-01-18T07:00:00.0612Z,0.3983839583115766,-0.377808,-0.126376,-60.50066,0.301364
2022-01-18T07:00:00.0616Z,0.542925104831228,0.31484,-0.442316,-93.501022,-0.947144
2022-01-18T07:00:00.062Z,0.9615272043182138,0.62968,-0.726662,-38.50042,-0.129156
2022-01-18T07:00:00.0624Z,0.2272787156598699,0.188904,-0.126376,44.000481,0.559676
2022-01-18T07:00:00.0628Z,0.5175101804641141,-0.31484,-0.410722,55.000603,-0.344416
2022-01-18T07:00:00.0632Z,0.6394639570296359,-0.220388,-0.600286,-16.500179,0.344416
2022-01-18T07:00:00.0636Z,0.5955321314723496,0.31484,-0.505504,-38.50042,-0.258312
2022-01-18T07:00:00.064Z,0.5863526146918764,0.47226,-0.347534,-16.500179,-0.258312
2022-01-18T07:00:00.0644Z,0.7387510941068041,0.566712,-0.47391,-16.500179,-0.129156
2022-01-18T07:00:00.0648Z,0.7273437320139633,0.031484,-0.726662,-38.50042,-0.043052
2022-01-18T07:00:00.0652Z,0.410722,0,-0.410722,71.500778,-0.774936
2022-01-18T07:00:00.0656Z,0.2823888269744396,-0.125936,-0.252752,-55.000603,-0.516624
2022-01-18T07:00:00.066Z,0.34895719424021054,0.031484,-0.347534,-44.000481,-0.258312
2022-01-18T07:00:00.0664Z,0.31523644218268926,0.251872,-0.189564,-5.50006,-0.21526
2022-01-18T07:00:00.0668Z,0.25450095689407537,-0.125936,-0.221158,-77.000839,0.43052
2022-01-18T07:00:00.0672Z,0.26982356051316203,-0.094452,-0.252752,-16.500179,0.172208
2022-01-18T07:00:00.0676Z,1.0746439761427968,-1.070456,-0.094782,-159.50174,-0.731884
2022-01-18T07:00:00.068Z,0.1302387639376234,-0.031484,0.126376,-55.000603,0.516624
2022-01-18T07:00:00.0684Z,0.6509860107406302,-0.251872,-0.600286,-33.000359,-0.086104
2022-01-18T07:00:00.0688Z,0.5499453657955489,-0.535228,0.126376,27.500301,-0.21526
2022-01-18T07:00:00.0692Z,0.7661112405075388,-0.755616,0.126376,121.00132,0.258312
2022-01-18T07:00:00.0696Z,0.9440911851659246,-0.850068,0.410722,5.50006,0
2022-01-18T07:00:00.07Z,0.8838136975901653,-0.881552,0.063188,-5.50006,-0.301364
2022-01-18T07:00:00.0704Z,0.3681070561888212,-0.188904,0.31594,-11.00012,-0.21526
2022-01-18T07:00:00.0708Z,0.5125833054831185,0.503744,0.094782,38.50042,0.387468
2022-01-18T07:00:00.0712Z,0.3297563705283038,-0.094452,0.31594,-5.50006,0.602728
2022-01-18T07:00:00.0716Z,0.5883171014376516,-0.566712,-0.15797,38.50042,0.387468
2022-01-18T07:00:00.072Z,0.20187112169896912,-0.15742,0.126376,44.000481,-0.086104
2022-01-18T07:00:00.0724Z,0.40374224339793824,-0.31484,0.252752,-38.50042,-1.033248
2022-01-18T07:00:00.0728Z,0.094452,0.094452,0,-49.500542,-0.602728
2022-01-18T07:00:00.0732Z,0.2299474504924984,0.062968,-0.221158,-5.50006,-0.473572
2022-01-18T07:00:00.0736Z,0.36866137084321704,0.346324,-0.126376,77.000839,0.86104
2022-01-18T07:00:00.074Z,0.08920589872872757,-0.062968,0.063188,33.000359,0.64578
2022-01-18T07:00:00.0744Z,0.4931473848049891,-0.440776,-0.221158,-77.000839,-0.602728
2022-01-18T07:00:00.0748Z,0.42835830170547645,-0.409292,-0.126376,-16.500179,-0.172208
2022-01-18T07:00:00.0752Z,0.6350096876615348,-0.062968,-0.63188,-88.000961,-0.344416
2022-01-18T07:00:00.0756Z,0.40374224339793824,-0.31484,-0.252752,27.500301,-0.43052
2022-01-18T07:00:00.076Z,0.63047211138638,0.62968,-0.031594,5.50006,0.387468
2022-01-18T07:00:00.0764Z,0.3155444417510789,0.188904,0.252752,-55.000603,-0.602728
2022-01-18T07:00:00.0768Z,0.347534,0,-0.347534,27.500301,-0.086104
2022-01-18T07:00:00.0772Z,0.125936,-0.125936,0,-110.001205,0.21526
2022-01-18T07:00:00.0776Z,0.4520810574443481,-0.188904,-0.410722,38.50042,0.387468
2022-01-18T07:00:00.078Z,0.11379190018626106,0.062968,-0.094782,-82.5009,0.301364
2022-01-18T07:00:00.0784Z,0.5798383417367292,-0.409292,-0.410722,-137.501495,-0.043052
2022-01-18T07:00:00.0788Z,0.6472048904914115,0.440776,-0.47391,-16.500179,0.990196
2022-01-18T07:00:00.0792Z,0.621519988080834,0.535228,0.31594,22.00024,-0.043052
2022-01-18T07:00:00.0796Z,0.7387510941068041,0.566712,-0.47391,5.50006,0.172208
2022-01-18T07:00:00.08Z,0.031484,0.031484,0,-77.000839,0.43052
2022-01-18T07:00:00.0804Z,0.094782,0,-0.094782,-38.50042,-0.516624
2022-01-18T07:00:00.0808Z,0.5090019137881507,-0.251872,-0.442316,-44.000481,-0.258312
2022-01-18T07:00:00.0812Z,0.625877039748224,-0.47226,-0.410722,-27.500301,-0.947144
