,1. Hauptachse,2. Hauptachse,3. Hauptachse,Partei,Name
0,-3.060171260508782,0.5083513705981493,-1.20230864928171,SPD,Sanae Abdi
1,-1.2368424608391209,1.6233039836445655,-0.19900608607545145,SPD,Adis Ahmetovic
2,-5.396228095760371,1.150952298714749,-0.37995329102835973,SPD,Reem Alabali-Radovan
3,-3.9359310087888755,1.1293767293518613,1.405217782260027,SPD,Dagmar Andres
4,-5.552890173667126,0.5703183074107486,-0.41510236698096203,SPD,Niels Annen
5,-4.790268719353973,0.6133350045973996,-1.1523324270365614,SPD,Johannes Arlt
6,-6.282716313204498,-0.1217190495729146,-0.4675197697946054,SPD,Heike Baehrens
7,-6.282716313204498,-0.1217190495729146,-0.4675197697946054,SPD,Ulrike Bahr
8,-6.282716313204498,-0.1217190495729146,-0.4675197697946054,SPD,Daniel Baldy
9,-6.014644584421875,-0.0579814042389242,0.02104437155342763,SPD,Nezahat Baradari
10,-6.282716313204498,-0.1217190495729146,-0.4675197697946054,SPD,Sören Bartol
11,-6.1284065478829435,0.11417864926102692,-0.6758570273819241,SPD,Bärbel Bas
12,-6.007685013025093,0.28569634416826073,-0.7439258144144744,SPD,Dr. Holger Becker
13,-5.5919046271054835,-0.4721491549726192,-0.6697016363556524,SPD,Jürgen Berghahn
14,-5.954362297354264,0.06954942343127898,-0.8051889163357971,SPD,Bengt Bergt
15,-6.282716313204498,-0.1217190495729146,-0.4675197697946054,SPD,Jakob Blankenburg
16,-5.982049512663068,0.07147987572365763,-0.38385444550437764,SPD,Leni Breymaier
17,-6.092704457379979,-0.17926087504908264,-0.45577770164716513,SPD,Katrin Budde
18,-6.109316580083033,-0.16964507697163725,-0.3771135407124072,SPD,Isabel Cademartori Dujisin
19,-5.174945490752656,-0.049851972037165876,0.34563558591726407,SPD,Dr. Lars Castellucci
20,-5.566407175546628,-0.15460333361400921,-0.2120656134840571,SPD,Jürgen Coße
21,-6.098511139977698,-0.19209836003605282,-0.5689474157217219,SPD,Bernhard Daldrup
22,-5.817172971518953,0.027955606646523384,-0.028777546214678776,SPD,Hakan Demir
23,-6.152486225698055,0.1477607666339674,-0.33129544992697035,SPD,Dr. Karamba Diaby
24,-3.5202267661358593,1.7637369575845494,-0.17965878430832502,SPD,Martin Diedenhofen
25,-2.978590641480955,4.8887141766066184,5.40637045269398,SPD,Jan Dieren
26,-6.282716313204498,-0.1217190495729146,-0.4675197697946054,SPD,Esther Dilcher
27,-6.105019226618437,-0.17332052112314386,-0.36968393581566805,SPD,Sabine Dittmar
28,-5.826674602170863,0.9152086308774913,0.3652132652290875,SPD,Felix Döring
29,-5.0047405267385745,1.5606806479941293,-1.0247230830613936,SPD,Falko Droßmann
30,-5.945031147613987,-0.23080579568311446,-0.2771864070535754,SPD,Axel Echeverria
31,-6.282716313204498,-0.1217190495729146,-0.4675197697946054,SPD,Sonja Eichwede
32,-4.8870351679593265,0.9295140302739541,-0.6279736171343436,SPD,Heike Engelhardt
33,-5.1269556814607835,-0.3941749956876399,0.16085974537194303,SPD,Dr. Wiebke Esdar
34,-4.736111734485804,1.3559511030939935,1.8718070011896197,SPD,Saskia Esken
35,3.2740463604276155,3.409383933256319,0.6158726982878614,SPD,Yasmin Fahimi
36,-5.404838672072626,1.0241897516597793,1.4249346011802144,SPD,Ariane Fäscher
37,-5.955408426922562,0.07842207759841377,-0.7817407431488009,SPD,Dr. Johannes Fechner
38,-5.244370859040649,0.14603803390680725,-0.03833763213015998,SPD,Sebastian Fiedler
39,-5.071846727575484,0.8618867890894799,-0.15625804431893212,SPD,Dr. Edgar Franke
40,-5.596714527446465,-0.3420941982712612,-0.0962425151835244,SPD,Fabian Funke
41,-1.1520478687607565,0.4343499279367911,0.8542083981785334,SPD,Manuel Gava
42,-3.967203692853812,0.33790827386193756,-1.1929874900522552,SPD,Michael Gerdes
43,-5.926278810935014,-0.26749227379126805,-0.505525298232203,SPD,Martin Gerster
44,-6.109316580083033,-0.16964507697163725,-0.3771135407124072,SPD,Angelika Glöckner
45,2.3122342737967183,2.531326175547037,1.4395344115900888,SPD,Timon Gremmels
46,-5.073835851608658,0.5457501735665106,-0.9738403096076954,SPD,Kerstin Griese
47,-0.20720033026606582,3.2255683432171245,0.8646822455059553,SPD,Uli Grötsch
48,-6.206430483105984,0.0859270053749501,0.10827249529152654,SPD,Bettina Hagedorn
49,-5.9799684118209315,0.3970281411898813,-0.7888694761461622,SPD,Rita Hagl-Kehl
50,-6.282716313204498,-0.1217190495729146,-0.4675197697946054,SPD,Metin Hakverdi
51,-5.7641369561481675,-0.396755241217404,-0.7331237538451713,SPD,Sebastian Hartmann
52,-3.323249066492827,1.242759566080835,-0.6999155345491079,SPD,Dirk Heidenblut
53,-4.603433178607927,0.5063030373937154,-1.678461306889716,SPD,Hubertus Heil (Peine)
54,-5.92518002513262,-0.34202767075818263,-0.4161762156989399,SPD,Frauke Heiligenstadt
55,-5.465076191610543,0.19830234674051936,-0.649291134545425,SPD,Gabriela Heinrich
56,-3.277315660868739,2.098060726426014,-1.6187837449534683,SPD,Wolfgang Hellmich
57,-6.144007176197279,0.14758827613659395,-0.3427370463537085,SPD,Anke Hennig
58,-6.144007176197279,0.14758827613659395,-0.3427370463537085,SPD,Nadine Heselhaus
59,-4.977708938585793,0.7223316233520333,-0.9289040165737962,SPD,Thomas Hitschler
60,-5.959251010822345,0.07824845004058142,-0.732463593320854,SPD,Jasmina Hostert
61,-5.789433315032554,0.8871243236242176,-0.23286259010425703,SPD,Verena Hubertz
62,-5.9147505824380024,0.6242439129407361,-0.10426716895633982,SPD,Markus Hümpfer
63,-4.62736217172863,0.83987355960539,-1.4956778321091626,SPD,Frank Junge
64,-3.03570140772746,0.48506523579570515,-1.0766801661661338,SPD,Josip Juratovic
65,-6.282716313204498,-0.1217190495729146,-0.4675197697946054,SPD,Oliver Kaczmarek
66,-5.857820019098169,0.6962454941064798,-1.0660229652411362,SPD,Elisabeth Kaiser
