time,seconds_elapsed,z,y,x
1691217813632397300,0.045397216796875,-1.0030059814453125,0.044830322265625,-0.00592041015625
1691217813642407400,0.055407470703125,-0.9649200439453125,0.050384521484375,-0.0201263427734375
1691217813652417500,0.06541748046875,-0.9647064208984375,-0.0732269287109375,-0.03753662109375
1691217813662457300,0.075457275390625,-0.9098052978515625,-0.059967041015625,-0.0347900390625
1691217813672528400,0.0855283203125,-0.9545135498046875,0.106109619140625,-0.034820556640625
1691217813682568200,0.095568115234375,-0.9582061767578125,0.051666259765625,-0.024688720703125
1691217813692609300,0.105609375,-0.922607421875,0.066436767578125,-0.01007080078125
1691217813702649300,0.1156494140625,-0.9495086669921875,0.077545166015625,-0.01007080078125
1691217813712689400,0.125689453125,-0.960113525390625,0.02410888671875,-0.0030975341796875
1691217813722729500,0.1357294921875,-0.9542388916015625,0.038360595703125,-0.00408935546875
1691217813732770600,0.1457705078125,-0.9814605712890625,0.012664794921875,-0.00445556640625
1691217813742810400,0.155810302734375,-0.966217041015625,-0.037872314453125,-0.0066680908203125
1691217813752850200,0.16585009765625,-0.965484619140625,-0.0121612548828125,-0.0162353515625
1691217813762891300,0.175891357421875,-0.988433837890625,-0.0230712890625,-0.018096923828125
1691217813772931300,0.185931396484375,-0.9801483154296875,-0.0175628662109375,-0.0193023681640625
1691217813782971400,0.195971435546875,-0.9769439697265625,-0.0167388916015625,-0.0171966552734375
1691217813793011500,0.206011474609375,-0.9942779541015625,-0.037017822265625,-0.0128631591796875
1691217813803052500,0.216052490234375,-0.9789581298828125,-0.0298919677734375,-0.0064239501953125
1691217813813092400,0.22609228515625,-0.9845733642578125,-0.024993896484375,-0.0024261474609375
1691217813823163400,0.236163330078125,-0.9923858642578125,-0.0273590087890625,-0.0047760009765625
1691217813833203200,0.246203125,-0.9758453369140625,-0.0179901123046875,-0.0099029541015625
1691217813843243300,0.2562431640625,-0.982574462890625,-0.03631591796875,-0.014862060546875
1691217813853284400,0.266284423828125,-0.97760009765625,-0.0448455810546875,-0.0198211669921875
1691217813863324400,0.276324462890625,-0.9730682373046875,-0.0169219970703125,-0.0203399658203125
1691217813873364500,0.286364501953125,-0.9813232421875,-0.0302276611328125,-0.01861572265625
1691217813883404300,0.296404296875,-0.9711761474609375,-0.030181884765625,-0.012725830078125
1691217813893445400,0.3064453125,-0.97509765625,-0.0003814697265625,-0.00738525390625
1691217813903485200,0.316485107421875,-0.9832305908203125,-0.0090789794921875,-0.0047760009765625
1691217813913525200,0.326525146484375,-0.9689483642578125,-0.01861572265625,-0.0059814453125
1691217813923566300,0.33656640625,-0.968963623046875,-0.017730712890625,-0.0098419189453125
1691217813933606400,0.3466064453125,-0.976776123046875,-0.0142059326171875,-0.0147857666015625
1691217813943646500,0.356646484375,-0.966796875,-0.0054473876953125,-0.0189666748046875
1691217813953686300,0.366686279296875,-0.9713897705078125,-0.0128021240234375,-0.0209808349609375
1691217813963727400,0.376727294921875,-0.971710205078125,-0.017791748046875,-0.019195556640625
1691217813973798400,0.38679833984375,-0.9682464599609375,-0.0073699951171875,-0.0152587890625
1691217813983838200,0.396838134765625,-0.977783203125,-0.0110626220703125,-0.0109100341796875
1691217813993878300,0.406878173828125,-0.9738006591796875,-0.0142822265625,-0.006439208984375
1691217814003918300,0.41691845703125,-0.974151611328125,-0.0063934326171875,-0.006439208984375
1691217814013959400,0.42695947265625,-0.980560302734375,-0.015106201171875,-0.0083160400390625
1691217814023999500,0.43699951171875,-0.9715423583984375,-0.0174560546875,-0.0138397216796875
1691217814034039300,0.447039306640625,-0.9773406982421875,-0.0074310302734375,-0.0169219970703125
1691217814044080400,0.457080322265625,-0.97467041015625,-0.0217437744140625,-0.017486572265625
1691217814054120200,0.4671201171875,-0.970550537109375,-0.01702880859375,-0.01763916015625
1691217814064160300,0.47716015625,-0.9804229736328125,-0.0064239501953125,-0.01556396484375
1691217814074200300,0.487200439453125,-0.972381591796875,-0.0219573974609375,-0.01202392578125
1691217814084241400,0.497241455078125,-0.97723388671875,-0.0112152099609375,-0.0083465576171875
1691217814094281500,0.507281494140625,-0.9813232421875,-0.008575439453125,-0.007568359375
1691217814104321300,0.5173212890625,-0.9733123779296875,-0.0219879150390625,-0.009674072265625
1691217814114392300,0.527392333984375,-0.978912353515625,-0.0083465576171875,-0.0114288330078125
1691217814124432400,0.537432373046875,-0.975067138671875,-0.0113525390625,-0.0139007568359375
1691217814134473200,0.54747314453125,-0.972259521484375,-0.01800537109375,-0.0163726806640625
1691217814144513300,0.55751318359375,-0.9763641357421875,-0.0074920654296875,-0.0170440673828125
1691217814154553300,0.56755322265625,-0.9725341796875,-0.0120849609375,-0.015960693359375
1691217814164593200,0.57759326171875,-0.9749755859375,-0.014923095703125,-0.0140380859375
1691217814174634500,0.587634521484375,-0.9766082763671875,-0.0098876953125,-0.0124359130859375
1691217814184674300,0.59767431640625,-0.9759063720703125,-0.012908935546875,-0.0097808837890625
1691217814194714400,0.60771435546875,-0.978302001953125,-0.01531982421875,-0.0099029541015625
1691217814204755200,0.617755126953125,-0.97698974609375,-0.0128021240234375,-0.0102691650390625
1691217814214795300,0.627795166015625,-0.9781036376953125,-0.013397216796875,-0.01263427734375
1691217814224835300,0.63783544921875,-0.9768524169921875,-0.0164337158203125,-0.01361083984375
1691217814234875400,0.64787548828125,-0.9747314453125,-0.0131683349609375,-0.0139923095703125
1691217814244916500,0.65791650390625,-0.9776153564453125,-0.0131988525390625,-0.01593017578125
1691217814254956300,0.667956298828125,-0.974273681640625,-0.0173797607421875,-0.015625
