time,seconds_elapsed,z,y,x
1691217813630380300,0.04338037109375,-404.8565673828125,-58.22438049316406,-404.7874755859375
1691217813640390400,0.053390380859375,-403.05133056640625,-60.788543701171875,-412.93865966796875
1691217813650400500,0.063400390625,-401.03704833984375,-63.386016845703125,-421.6236267089844
1691217813660409300,0.073409423828125,-400.22442626953125,-64.50370788574219,-427.32635498046875
1691217813670419500,0.08341943359375,-399.43408203125,-65.5699462890625,-431.0828857421875
1691217813680429300,0.09342919921875,-399.43267822265625,-65.98356628417969,-432.63983154296875
1691217813690439200,0.103439208984375,-400.40167236328125,-65.12295532226562,-430.8115539550781
1691217813700449300,0.11344921875,-401.4703674316406,-63.96290588378906,-428.10693359375
1691217813710458400,0.123458251953125,-403.00909423828125,-62.300048828125,-423.5260009765625
1691217813720468200,0.13346826171875,-404.807861328125,-60.0914306640625,-418.02459716796875
1691217813730478300,0.143478271484375,-406.20269775390625,-58.470245361328125,-412.87908935546875
1691217813740457200,0.153457275390625,-407.0978698730469,-57.05181884765625,-407.8785400390625
1691217813750467300,0.16346728515625,-407.97149658203125,-56.32884216308594,-402.5475158691406
1691217813760477200,0.173477294921875,-408.28070068359375,-55.45539855957031,-398.83367919921875
1691217813770486300,0.183486328125,-408.66424560546875,-54.69221496582031,-395.1224365234375
1691217813780496400,0.193496337890625,-409.4154052734375,-53.683135986328125,-392.02001953125
1691217813790506200,0.20350634765625,-410.1678466796875,-52.81895446777344,-390.07928466796875
1691217813800516400,0.213516357421875,-410.97637939453125,-51.94947814941406,-388.4223937988281
1691217813810525400,0.223525390625,-411.56842041015625,-51.536865234375,-387.5506591796875
1691217813820535300,0.233535400390625,-411.6460876464844,-51.19572448730469,-387.4068908691406
1691217813830545400,0.24354541015625,-411.735595703125,-51.216033935546875,-387.19720458984375
1691217813840524500,0.253524658203125,-411.3334045410156,-51.36268615722656,-387.5853271484375
1691217813850534400,0.263534423828125,-410.8596496582031,-51.86671447753906,-388.25714111328125
1691217813860544500,0.27354443359375,-410.6304016113281,-52.20903015136719,-389.37115478515625
1691217813870553300,0.28355322265625,-410.65545654296875,-52.6065673828125,-390.3993835449219
1691217813880563200,0.293563232421875,-410.4136047363281,-52.960357666015625,-391.8538818359375
1691217813890573300,0.3035732421875,-410.3984069824219,-53.02630615234375,-392.8707275390625
1691217813900583200,0.313583251953125,-410.09442138671875,-53.06111145019531,-394.2467346191406
1691217813910593300,0.32359326171875,-409.9414978027344,-53.707794189453125,-395.3319091796875
1691217813920572200,0.333572265625,-409.73358154296875,-53.69465637207031,-395.91314697265625
1691217813930582300,0.343582275390625,-409.1571350097656,-53.96723937988281,-396.95782470703125
1691217813940591400,0.35359130859375,-409.068359375,-54.24403381347656,-397.5270080566406
1691217813950601200,0.363601318359375,-408.9897766113281,-54.19572448730469,-397.756591796875
1691217813960611300,0.373611328125,-409.0431823730469,-54.41026306152344,-398.07275390625
1691217813970621400,0.383621337890625,-409.144287109375,-54.38453674316406,-398.15167236328125
1691217813980630300,0.39363037109375,-409.2654113769531,-54.11181640625,-398.09588623046875
1691217813990640400,0.403640380859375,-409.28857421875,-54.2144775390625,-398.00787353515625
1691217814000650500,0.413650390625,-409.1881103515625,-54.2635498046875,-397.7349853515625
1691217814010660400,0.423660400390625,-408.94384765625,-54.26995849609375,-397.8154296875
1691217814020669200,0.433669189453125,-409.281982421875,-54.24993896484375,-397.714599609375
1691217814030679300,0.44367919921875,-409.0858459472656,-54.47357177734375,-397.5532531738281
1691217814040689200,0.453689208984375,-409.0196838378906,-54.025970458984375,-397.7640075683594
1691217814050699300,0.46369921875,-409.41815185546875,-53.99501037597656,-397.5511169433594
1691217814060678100,0.47367822265625,-409.2130432128906,-54.06385803222656,-397.328369140625
1691217814070688300,0.483688232421875,-409.32928466796875,-54.17396545410156,-397.3149108886719
1691217814080698400,0.493698486328125,-409.19873046875,-54.25640869140625,-397.50933837890625
1691217814090707200,0.503707275390625,-409.06170654296875,-54.29780578613281,-397.5233154296875
1691217814100717300,0.51371728515625,-408.93218994140625,-54.41700744628906,-397.94549560546875
1691217814110727400,0.5237275390625,-408.93389892578125,-54.635284423828125,-398.1378173828125
1691217814120737300,0.5337373046875,-408.9953308105469,-54.73771667480469,-398.26434326171875
1691217814130746400,0.543746337890625,-409.10858154296875,-54.383514404296875,-398.3281555175781
1691217814140756500,0.553756591796875,-409.0552978515625,-54.364227294921875,-398.05078125
1691217814150766300,0.563766357421875,-408.8050842285156,-54.3604736328125,-398.0390625
1691217814160776400,0.5737763671875,-409.03070068359375,-54.34828186035156,-397.9719543457031
1691217814170785500,0.58378564453125,-409.009765625,-54.76588439941406,-397.77447509765625
1691217814180765400,0.593765380859375,-409.0086364746094,-54.49560546875,-397.63482666015625
1691217814190774500,0.6037744140625,-408.8956298828125,-54.352020263671875,-397.39569091796875
1691217814200784400,0.613784423828125,-409.09027099609375,-54.53680419921875,-397.5843505859375
1691217814210794500,0.62379443359375,-408.9713134765625,-54.087432861328125,-397.60064697265625
1691217814220804400,0.633804443359375,-409.0622253417969,-53.99977111816406,-397.5588684082031
1691217814230813200,0.643813232421875,-409.2687072753906,-54.416534423828125,-397.5218505859375
